,Measured,Cirrus (Rigid: R),Cirrus (Moldable: M),Cirrus (M) + 10% ARCHER2 (R),Cirrus (M) + 20% ARCHER2 (R),Cirrus (M) + 30% ARCHER2 (R),Cirrus (M) + 40% ARCHER2 (R),Cirrus (M) + 50% ARCHER2 (R),Cirrus (M) + 60% ARCHER2 (R),Cirrus (M) + 70% ARCHER2 (R),Cirrus (M) + 80% ARCHER2 (R),Cirrus (M) + 90% ARCHER2 (R),Cirrus (M) + 100% ARCHER2 (R)
nJobStart,45814.000,44338.000,45790.000,45458.000,46278.000,49164.000,50401.000,51701.000,54357.000,57476.000,56118.000,55885.000,54457.000
minLoad,0.000,0.000,756.000,770.000,1618.000,1750.000,2220.000,4256.000,5269.000,12559.000,12557.000,12558.000,12745.000
maxLoad,12924.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000,13248.000
medianLoad,8254.000,7807.000,8457.000,9648.000,10915.000,12529.000,13145.000,13177.000,13217.000,13231.000,13227.000,13225.000,13223.000
meanLoad,8378.000,8199.000,8368.000,9091.000,9711.000,10455.000,11083.000,11844.000,12688.000,13203.000,13205.000,13202.000,13202.000
usageIncluded,5711012.314,5589178.099,5704728.236,6197697.867,6620128.580,7127215.551,7555471.354,8074302.973,8649316.149,9000352.658,9001574.736,8999644.287,9000039.396
usageExcluded,2337663.841,2459447.941,2343775.414,2652176.896,3028369.831,3321905.880,3693099.969,3974708.377,4205363.792,4650767.229,5448460.217,6249367.252,7048550.687
usageFraction,0.632,0.619,0.632,0.686,0.733,0.789,0.837,0.894,0.958,0.997,0.997,0.997,0.997
residualWork,488652.939,442682.478,313543.191,384578.952,449904.373,505707.476,598724.407,662250.841,759830.595,1061109.976,1713561.448,2387518.402,3082160.237
minWait,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,18864.200,173445.000,207398.000,253193.000
medianWait,1.000,0.000,0.000,0.000,14.000,5855.090,12980.500,31963.000,93965.300,198395.000,274954.000,383813.000,501557.000
maxWait,1263925.000,84390.000,104920.000,109902.000,120181.000,131341.000,133310.000,180662.000,255007.000,325363.000,395642.000,494127.000,618545.000
meanWait,3838.323,1811.632,7663.575,9428.649,12242.663,19673.752,23503.632,41568.552,89374.276,174587.977,276419.200,378399.972,472506.124
minTurnaroundTime,1.000,1.000,0.500,0.500,0.500,0.500,0.500,0.500,0.500,19132.500,173458.000,208325.000,254163.000
medianTurnaroundTime,94.000,91.000,250.000,1605.000,3529.000,10119.500,17961.600,37873.800,98227.000,200337.000,279125.000,387945.000,506394.000
maxTurnaroundTime,1683839.000,1039130.000,778686.000,694066.000,693834.000,719138.000,738195.000,803195.000,860928.000,1570240.000,2020590.000,1260650.000,1158120.000
meanTurnaroundTime,23013.622,21289.658,17690.760,19852.800,22914.170,30062.935,34180.828,52561.334,100079.058,185133.454,287458.272,388861.688,482701.271
