,nJobStart,minLoad,maxLoad,medianLoad,meanLoad,usageIncluded,usageExcluded,usageFraction,residualWork,minWait,medianWait,maxWait,meanWait,minTurnaroundTime,medianTurnaroundTime,maxTurnaroundTime,meanTurnaroundTime,emissionsActive,emissionsIdle,emissionsEmbodied,emissionsTotal,emissionsIntensity
cirrus-cpu-measured,45814,0,12924,8254,8378,5711012.314,2337663.841,0.632,488652.939,0,1,1263925,3838.323,1,94,1683839,23013.622,1535,894,4516,6945,0.0012
cirrus-cpu-R,40375,756,12745,9112,8760,5596931.425,2451704.79,0.661,2380035.982,0,0,27.017,2.138,0,0.272,246.874,8.316,1624,833,4516,6973,0.0012
cirrus-cpu-M,40375,756,12745,9776,8855,5657778.098,2390895.528,0.668,2293866.276,0,0.087,32.747,4.488,0,0.633,220.574,7.89,1646,818,4516,6980,0.0011
cirrus-cpu-M_archer2-R-10pc,41528,1136,12745,11310,9590,6127084.781,2722928.904,0.724,2521112.158,0,2.717,34.133,6.188,0,4.722,207.418,9.642,1823,695,4516,7034,0.0011
cirrus-cpu-M_archer2-R-20pc,42667,1418,12745,12631,10351,6613228.694,3035453.7,0.781,2730954.013,0,4.762,38.583,7.475,0,6.691,207.701,10.921,2010,564,4516,7090,0.00099
cirrus-cpu-M_archer2-R-30pc,43928,2554,12745,12683,11061,7067123.06,3382202.813,0.835,2990839.272,0,7.852,36.467,9.579,0,10.612,214.524,13.048,2193,433,4516,7142,0.00093
cirrus-cpu-M_archer2-R-40pc,44540,3130,12745,12715,11757,7511564.613,3737238.723,0.887,3247945.865,0,12.275,44.148,12.992,0,15.483,216.274,16.584,2374,302,4516,7192,0.00088
cirrus-cpu-M_archer2-R-50pc,44594,3274,12745,12728,12288,7851022.524,4198265.804,0.928,3604726.634,0,23.394,61.729,25.058,0,26.919,505.931,28.724,2521,196,4516,7233,0.00085
cirrus-cpu-M_archer2-R-60pc,43093,3994,12745,12729,12474,7969524.714,4885455.557,0.942,4194807.621,0,49.938,83.819,46.524,0.084,51.852,505.436,50.233,2571,158,4516,7245,0.00084
cirrus-cpu-M_archer2-R-70pc,39922,5866,12745,12719,12538,8010808.708,5640605.569,0.946,4847853.868,0,67.257,103.566,62.916,0.084,69.031,429.764,66.659,2586,148,4516,7250,0.00084
cirrus-cpu-M_archer2-R-80pc,38489,6586,12745,12715,12577,8035529.745,6414815.462,0.949,5503998.696,0,84.884,124.661,80.621,0.087,85.741,282.597,84.462,2597,140,4516,7253,0.00083
cirrus-cpu-M_archer2-R-90pc,38886,7090,12745,12713,12644,8078697.696,7170630.393,0.954,6178252.015,0,101.639,144.334,97.102,0.089,101.985,344.85,100.936,2615,126,4516,7257,0.00083
cirrus-cpu-M_archer2-R-100pc,37951,9433,12745,12711,12682,8102753.062,7946141.235,0.957,6902174.518,0,119.415,173.928,115.37,0.089,119.644,342.233,118.847,2626,118,4516,7260,0.00083
