ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,1.03681e+06,0,1.03681e+06,1.03681e+06,completed
1,rigid,80912,80912,152342,0,71430,71430,completed
2,rigid,84565,84565,170994,0,86429,86429,completed
3,rigid,113907,113907,424492,0,310585,310585,completed
4,rigid,113907,113907,466216,0,352309,352309,completed
5,rigid,113907,113907,458931,0,345024,345024,completed
6,rigid,113907,113907,451791,0,337884,337884,completed
7,rigid,113907,113907,493232,0,379325,379325,completed
8,rigid,113907,113907,454528,0,340621,340621,completed
9,rigid,113907,113907,473091,0,359184,359184,completed
10,rigid,113907,113907,459473,0,345566,345566,completed
11,rigid,113907,113907,462334,0,348427,348427,completed
12,rigid,113907,113907,467538,0,353631,353631,completed
13,rigid,113907,113907,483379,0,369472,369472,completed
14,rigid,113907,113907,458898,0,344991,344991,completed
15,rigid,113907,113907,470599,0,356692,356692,completed
16,rigid,113907,113907,465594,0,351687,351687,completed
17,rigid,113907,113907,514246,0,400339,400339,completed
18,rigid,258832,258832,431657,0,172825,172825,completed
19,rigid,258866,258866,431691,0,172825,172825,completed
20,rigid,258866,258866,431689,0,172823,172823,completed
21,rigid,258866,258866,431677,0,172811,172811,completed
22,rigid,258926,258926,431732,0,172806,172806,completed
23,rigid,258926,258926,431729,0,172803,172803,completed
24,rigid,258926,258926,431752,0,172826,172826,completed
25,rigid,281887,281887,454709,0,172822,172822,completed
26,rigid,281887,281887,454700,0,172813,172813,completed
27,rigid,281887,281887,454700,0,172813,172813,completed
28,rigid,281914,281914,454726,0,172812,172812,completed
29,rigid,281914,281914,454726,0,172812,172812,completed
30,rigid,281914,281914,454726,0,172812,172812,completed
31,rigid,281939,281939,454750,0,172811,172811,completed
32,rigid,281939,281939,454750,0,172811,172811,completed
33,rigid,281939,281939,454768,0,172829,172829,completed
34,rigid,282007,282007,454836,0,172829,172829,completed
35,rigid,282007,282007,454836,0,172829,172829,completed
36,rigid,282007,282007,454836,0,172829,172829,completed
37,rigid,282036,282036,454865,0,172829,172829,completed
38,rigid,282036,282036,454865,0,172829,172829,completed
39,rigid,282036,282036,454848,0,172812,172812,completed
40,rigid,282080,282080,454890,0,172810,172810,completed
41,rigid,282080,282080,454890,0,172810,172810,completed
42,rigid,282080,282080,454890,0,172810,172810,completed
43,rigid,439847,439847,612657,-5.82077e-11,172810,172810,completed
44,rigid,463599,463599,850596,-1.16415e-10,386997,386997,completed
45,rigid,517164,517164,807637,0,290473,290473,completed
46,rigid,517525,517525,793649,0,276124,276124,completed
47,rigid,519458,519458,778679,0,259221,259221,completed
48,rigid,519458,519458,778679,0,259221,259221,completed
49,rigid,519458,519458,778679,0,259221,259221,completed
50,rigid,519458,519458,778679,0,259221,259221,completed
51,rigid,519458,519458,778679,0,259221,259221,completed
52,rigid,519458,519458,778679,0,259221,259221,completed
53,rigid,519458,519458,778679,0,259221,259221,completed
54,rigid,519458,519458,778678,0,259220,259220,completed
55,rigid,519458,519458,778678,0,259220,259220,completed
56,rigid,519458,519458,778678,0,259220,259220,completed
57,rigid,519458,519458,778678,0,259220,259220,completed
58,rigid,519474,519474,778678,0,259204,259204,completed
59,rigid,519474,519474,778678,0,259204,259204,completed
60,rigid,519474,519474,778678,0,259204,259204,completed
61,rigid,519474,519474,778678,0,259204,259204,completed
62,rigid,519474,519474,778678,0,259204,259204,completed
63,rigid,519474,519474,778678,0,259204,259204,completed
64,rigid,519474,519474,778678,0,259204,259204,completed
65,rigid,519474,519474,778678,0,259204,259204,completed
66,rigid,519474,519474,778678,0,259204,259204,completed
67,rigid,519474,519474,778678,0,259204,259204,completed
68,rigid,519474,519474,778678,0,259204,259204,completed
69,rigid,519474,519474,778678,0,259204,259204,completed
70,rigid,519474,519474,778678,0,259204,259204,completed
71,rigid,519474,519474,778678,0,259204,259204,completed
72,rigid,519474,519474,778678,0,259204,259204,completed
73,rigid,519474,519474,752711,0,233237,233237,completed
74,rigid,519474,519474,778678,0,259204,259204,completed
75,rigid,519474,519474,778678,0,259204,259204,completed
76,rigid,519474,519474,778678,0,259204,259204,completed
77,rigid,519474,519474,778678,0,259204,259204,completed
78,rigid,519474,519474,778678,0,259204,259204,completed
79,rigid,519474,519474,778678,0,259204,259204,completed
80,rigid,519474,519474,778678,0,259204,259204,completed
81,rigid,519474,519474,778678,0,259204,259204,completed
82,rigid,519474,519474,778678,0,259204,259204,completed
83,rigid,519474,519474,778678,0,259204,259204,completed
84,rigid,519474,519474,778678,0,259204,259204,completed
85,rigid,519474,519474,778678,0,259204,259204,completed
86,rigid,519474,519474,778678,0,259204,259204,completed
87,rigid,519474,519474,778678,0,259204,259204,completed
88,rigid,519474,519474,778678,0,259204,259204,completed
89,rigid,519474,519474,778678,0,259204,259204,completed
90,rigid,519474,519474,778678,0,259204,259204,completed
91,rigid,519474,519474,778678,0,259204,259204,completed
92,rigid,519474,519474,778678,0,259204,259204,completed
93,rigid,519474,519474,778678,0,259204,259204,completed
94,rigid,519480,519480,778709,0,259229,259229,completed
95,rigid,519480,519480,778709,0,259229,259229,completed
96,rigid,519480,519480,778709,0,259229,259229,completed
97,rigid,519480,519480,765878,0,246398,246398,completed
98,rigid,519480,519480,778709,0,259229,259229,completed
99,rigid,519480,519480,778709,0,259229,259229,completed
100,rigid,519480,519480,778709,0,259229,259229,completed
101,rigid,519480,519480,778708,0,259228,259228,completed
102,rigid,519480,519480,778708,0,259228,259228,completed
103,rigid,519480,519480,778708,0,259228,259228,completed
104,rigid,519480,519480,778708,0,259228,259228,completed
105,rigid,519480,519480,778708,0,259228,259228,completed
106,rigid,519480,519480,778708,0,259228,259228,completed
107,rigid,519480,519480,778708,0,259228,259228,completed
108,rigid,519480,519480,778708,0,259228,259228,completed
109,rigid,519480,519480,778708,0,259228,259228,completed
110,rigid,519480,519480,778708,0,259228,259228,completed
111,rigid,519480,519480,778708,0,259228,259228,completed
112,rigid,519480,519480,778708,0,259228,259228,completed
113,rigid,519480,519480,778708,0,259228,259228,completed
114,rigid,519480,519480,778708,0,259228,259228,completed
115,rigid,519480,519480,778708,0,259228,259228,completed
116,rigid,519480,519480,778708,0,259228,259228,completed
117,rigid,519480,519480,778708,0,259228,259228,completed
118,rigid,519480,519480,778708,0,259228,259228,completed
119,rigid,519480,519480,778708,0,259228,259228,completed
120,rigid,519480,519480,778708,0,259228,259228,completed
121,rigid,519480,519480,778708,0,259228,259228,completed
122,rigid,519480,519480,778708,0,259228,259228,completed
123,rigid,519480,519480,778708,0,259228,259228,completed
124,rigid,519480,519480,778708,0,259228,259228,completed
125,rigid,519480,519480,778708,0,259228,259228,completed
126,rigid,519480,519480,778708,0,259228,259228,completed
127,rigid,519480,519480,778708,0,259228,259228,completed
128,rigid,519480,519480,778708,0,259228,259228,completed
129,rigid,519480,519480,778708,0,259228,259228,completed
130,rigid,519480,519480,778708,0,259228,259228,completed
131,rigid,519480,519480,778708,0,259228,259228,completed
132,rigid,519480,519480,778708,0,259228,259228,completed
133,rigid,519484,519484,778708,0,259224,259224,completed
134,rigid,519484,519484,778708,0,259224,259224,completed
135,rigid,519484,519484,778708,0,259224,259224,completed
136,rigid,519484,519484,778708,0,259224,259224,completed
