ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status,Nodes
0,Rigid,0,1,718524,1,718523,718524,completed,180
1,Rigid,522,523,717910,1,717387,717388,completed,180
2,Rigid,247878,247879,593488,1,345609,345610,completed,1
3,Rigid,248021,248021,593638,0,345617,345617,completed,1
4,Rigid,248100,248101,593728,1,345627,345628,completed,1
5,Rigid,248112,248113,593728,1,345615,345616,completed,1
6,Rigid,248965,248966,547521,1,298555,298556,completed,1
7,Rigid,270852,277285,619172,6433,341887,348320,completed,36
8,Rigid,270876,278248,620116,7372,341868,349240,completed,36
9,Rigid,278521,278742,542545,221,263803,264024,completed,36
10,Rigid,320063,320063,589118,0,269055,269055,completed,1
11,Rigid,320270,320270,665872,0,345602,345602,completed,12
12,Rigid,320491,320492,564635,1,244143,244144,completed,1
13,Rigid,320876,320876,564107,0,243231,243231,completed,1
14,Rigid,321156,321156,620911,0,299755,299755,completed,1
15,Rigid,321631,321632,604863,1,283231,283232,completed,1
16,Rigid,322026,322028,590920,2,268892,268894,completed,1
17,Rigid,325176,325176,566602,0,241426,241426,completed,1
18,Rigid,325269,325270,576458,1,251188,251189,completed,1
19,Rigid,325375,325375,632204,0,306829,306829,completed,1
20,Rigid,325413,325413,608560,0,283147,283147,completed,1
21,Rigid,325426,325426,605076,0,279650,279650,completed,1
22,Rigid,325438,325438,608464,0,283026,283026,completed,1
23,Rigid,325505,325508,629868,3,304360,304363,completed,1
24,Rigid,325537,325538,589741,1,264203,264204,completed,1
25,Rigid,349266,349268,611003,2,261735,261737,completed,72
26,Rigid,349547,349547,609165,0,259618,259618,completed,72
27,Rigid,349729,349729,609656,0,259927,259927,completed,72
28,Rigid,385687,385689,544353,2,158664,158666,completed,144
29,Rigid,385833,385834,544343,1,158509,158510,completed,144
30,Rigid,436036,436037,742594,1,306557,306558,completed,36
31,Rigid,436338,436338,726204,0,289866,289866,completed,36
32,Rigid,437023,437023,609848,0,172825,172825,completed,144
33,Rigid,437023,437023,609848,0,172825,172825,completed,144
34,Rigid,437023,437027,609848,4,172821,172825,completed,144
35,Rigid,437023,437027,609848,4,172821,172825,completed,144
36,Rigid,437023,437027,609848,4,172821,172825,completed,144
37,Rigid,437023,437027,609848,4,172821,172825,completed,144
